Company ,Employer/Aggregator,Priority,Checked,JBoard,Job Listing (1) ,Job Listing (2) ,Status,Issue,Search term alt protein,Additional data / notes,Company's general website,,
Reel Foods,Aggregator,17,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7366,https://www.linkedin.com/jobs/search/?currentJobId=3465404249&f_C=89883314&geoId=92000000&originToLandingJobPostings=3465404249,,No jobs on JBoard but jobs listed on website,"JBoard says ""unable to detect jobs""
No jobs on JBoard but 1 job listed on Company website",https://altproteincareers.com/jobs?q=reel+foods&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.reelfoods.co/careers,,
Sempera Organics,Employer,,,,,,,,,,,,
Planted Foods AG,Employer,1,,,https://careers.eatplanted.com/?_gl=1*l4xfpj*_gcl_au*MTQ4Njg3NDMxNS4xNzAwMTY2NDM5,,,,,,https://careers.eatplanted.com,,
Rise Brewing Co,Employer,,,,,,,,,,,,
Rebbl,Employer,,,,,,,,,,,,
Genuine Taste,Employer,,,,,,,,,,,,
Cargill,Employer,,,,,,,,,,,,
Tomorrow Farms,Employer,,,,,,,,,,,,
GoodPop,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7589,https://goodpop.isolvedhire.com/jobs/,,Works,Missing General Application,https://altproteincareers.com/jobs?q=goodpop&category=&posted_at=&location=&location_id=3&search_radius=,"Name on JBoard  Aggregator is ""goodpop.isolvedhire.com"" instead of Goodpop",https://goodpop.isolvedhire.com,https://goodpop.com/about/careers/,
Ripple Foods,Aggregator,18,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7424,https://www.linkedin.com/jobs/search/?currentJobId=3633066282&f_C=7787675&geoId=92000000&originToLandingJobPostings=3633066282,LinkedIn job listing link does not seem to work,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=ripple+foods&category=&posted_at=&location=&location_id=3&search_radius=,,https://shop.ripplefoods.com/,,
Clif,Employer,,,,,,,,,,,,
"Good Karma Foods, Inc.",Aggregator,19,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7139,https://www.linkedin.com/jobs/search/?currentJobId=3608626510&f_C=6574521&geoId=92000000&originToLandingJobPostings=3608626510,,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=karma&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.linkedin.com/company/good-karma-foods-inc-,https://goodkarmafoods.com/pages/about-us,
Balletic Foods,Employer,,,,,,,,,,,,
Danone,Employer,,,,,,,,,,,,
